row	university	program	project_url	course_url	highlight
62	University of Texas--Austin	Master of Science in Engineering (MSE) in Electrical and Computer Engineering		https://wikis.utexas.edu/display/ECEHandbook/Admissions+FAQ	1.专业可选分支多，一共有8个分支；申请时Applicants to our major are required to select a primary track of study, and can also select a second-choice track. Applicants are considered for admission to the primary track of study. In some rare cases, the admissions committee may decide to evaluate an applicant for his or her second-choice track. 2.大多数学生都有机会和教授一起参与最新的研究
63	University of Texas--Austin	The Software Engineering Executive Master's Degree			
64	Georgia Institute of Technology	M.S. in Electrical and Computer Engineering			1.  综合排名#29, 工程学院排名#7 2. 该校是美国最好的理工类大学之一，与麻省理工学院，加州理工学院并列为“三大理工学院”。Georgia Tech下属的航空系统设计实验室（Aerospace System Design Laboratory）承担了美国政府的机密的重大科研项目.
65	Georgia Institute of Technology	Master’s in Robotics Program			
66	New York University	M.S. in Electrical Engineering			1. 纽约大学的主校区以曼哈顿为中心 综合排名#29, 工程学院排名#40 2. Tandon学院的前身确实是一所独立学院，基础扎实 3.CE选课灵活度就大了很多，不选择做论文的话，6学分的必修课中还可选一门计算机系统结构，30学分中15分必须是ECE的，其余12分可以选CS，剩3分选作EE或CS方向的项目。
67	New York University	M.S. in Computer Engineering			1. 纽约大学的主校区以曼哈顿为中心 综合排名#29, 工程学院排名#40 2. Tandon学院的前身确实是一所独立学院，基础扎实 3.CE选课灵活度就大了很多，不选择做论文的话，6学分的必修课中还可选一门计算机系统结构，30学分中15分必须是ECE的，其余12分可以选CS，剩3分选作EE或CS方向的项目。
68	New York University	Mechatronics and Robotics, M.S.			
69	University of California--Davis	Ms in Electrical and Computer Engineering		https://ece.ucdavis.edu/graduate/frequently-asked-questions	1.地理位置优越：加州，靠近硅谷高科技产业集中地，就业机会多 2. 综合排名#39, 工程学院排名#31
70	University of California--Irvine	Electrical Engineering M.S.		https://grad.uci.edu/admissions/faq/	1.UCI的快速发展也依托于以高通（Qualcomm）为首的众多立足于圣地亚哥的高新技术企业，包括坐落于UCI校园中的Broadcom、Skyworks，以及欧文市中心的Conexant Systems、JAZZ Semiconductor，还有大名鼎鼎的游戏公司暴雪娱乐（Blizzard）等等。 2. 综合排名#36, 工程学院排名#36
71	University of California--Irvine	Computer Engineering M.S.		https://grad.uci.edu/admissions/faq/	
72	University of California--Irvine	MENG-Electrical Engineering & Computer Science:			
73	Boston College	无硕士/博士			
74	Tufts University	Master of Science in Electrical Engineering		https://asegrad.tufts.edu/applying/faqs	1.塔夫茨是有“小常春藤”之称的大学之一 综合排名#29, 工程学院排名#67 2. ECE学院的图像信号处理和纳米级工程研究方向非常突出。3. 学校招生规模较小，属于精英教学
75	Tufts University	Master of Science in Computer Engineering		https://asegrad.tufts.edu/applying/faqs	1.塔夫茨是有“小常春藤”之称的大学之一 综合排名#29, 工程学院排名#67 2. ECE学院的图像信号处理和纳米级工程研究方向非常突出。3. 学校招生规模较小，属于精英教学
76	University of Illinois--Urbana-Champaign	Master of Science in Electrical and Computer Engineering			课程有多种研究方向可选，学生可以寻找和自己研究兴趣方向相似的教授，和教授讨论制定自己的论文主题
